id;firstPoint;lastPoint;length
1;1;2;
2;2;3;
3;2;5;
4;2;8;
5;3;4;
6;5;6;
7;5;14;
8;8;9;
9;6;7;
10;6;20;
11;14;13;
12;14;20;
13;9;10;
14;20;19;
15;13;12;
16;10;11;
17;10;15;
18;19;16;
19;19;18;
20;12;11;
21;15;16;
22;16;17;
23;17;18;
24;21;22;
25;22;23;
26;23;24;
27;23;41;
28;24;25;
29;24;28;
30;41;40;
31;25;26;
32;28;27;
33;28;29;
34;40;39;
35;27;38;
36;29;30;
37;39;31;
38;38;33;
39;38;37;
40;30;31;
41;31;32;
42;33;34;
43;37;35;
44;34;35;
45;35;36;
46;54;55;
47;54;56;
48;56;57;
49;56;60;
50;60;59;
51;57;58;
52;57;59;
53;59;61;
54;61;62;
55;62;63;
56;62;64;
57;65;66;
58;66;67;
59;67;68;
60;67;73;
61;68;69;
62;68;75;
63;73;74;
64;69;70;
65;69;72;
66;75;74;
67;70;71;
68;72;71;
69;76;77;
70;77;78;
71;77;79;
72;79;80;
73;79;83;
74;80;82;
75;83;82;
76;80;81;
77;83;84;
78;72;85;
79;74;86;
80;41;100;
81;101;102;
82;102;103;
83;103;104;
84;42;4;
85;43;2;
86;44;8;
87;45;5;
88;46;5;
89;47;10;
90;48;21;
91;49;23;
92;50;41;
93;51;28;
94;52;28;
95;53;31;
96;95;80;
97;96;80;
98;97;83;
99;98;76;
100;99;77;
101;90;69;
102;91;69;
103;92;73;
104;93;65;
105;94;66;
106;87;59;
107;88;59;
108;89;54;
